Subgroup,Abirateron+Prednisone,Prednisone alone,Hazard Ratio(95%CI),,,
All patients,NR,27.2,0.75(0.61-0.93),0.75,0.61,0.93
Baseline ECOG,,,,,,
0,NR,27.2,0.71(0.55-0.92),0.71,0.55,0.92
1,NR,26.4,0.86(0.58-1.28),0.86,0.58,1.28
Baseline BPI-SF,,,,,,
0~1,NR,27.2,0.71(0.54-0.94),0.71,0.54,0.94
2~3,25.5,NR,0.87(0.59-1.29),0.87,0.59,1.29
Bone metastases only at entry,,,,,,
Yes,NR,27.2,0.68(0.48-0.96),0.68,0.48,0.96
No,NR,27.5,0.81(0.61-1.06),0.81,0.61,1.06
Age,,,,,,
Less than 65 yr,NR,NR,0.8(0.51-1.24),0.8,0.51,1.24
More than 65 yr,NR,26.4,0.73(0.57-0.94),0.73,0.57,0.94
More than 75 yr,NR,23.8,0.71(0.51-1),0.71,0.51,1
Baseline PSA above median,,,,,,
Yes,26.9,23.8,0.72(0.43-0.94),0.72,0.43,0.94
No,NR,NR,0.77(0.38-1.09),0.77,0.38,1.09
Baseline LDH above median,,,,,,
Yes,NR,23.6,0.69(0.53-0.91),0.69,0.53,0.91
No,NR,27.5,0.79(0.55-1.12),0.79,0.55,1.12
Baseline ALK-P above median,,,,,,
Yes,NR,23.6,0.79(0.6-1.04),0.79,0.6,1.04
No,NR,27.5,0.66(0.46-0.94),0.66,0.46,0.94
Region,,,,,,
North America,NR,27.2,0.66(0.49-0.88),0.66,0.49,0.88
Other,NR,NR,0.89(0.65-1.22),0.89,0.65,1.22
